sep=|
|||||||||||||Pvpmin,||Pvpmax|
No.|Formula|Name|CAS #|Eq. #|A/A/Tc|B/B/a|C/C/b|Tc/c|to/d|n/Pc|E|F|bar|Tmin, K|bar|Tmax, K
62|C,H,Br|bromoethane|74-96-4|1|4.04485|1090.811|231.710||||||0.02|231.35|2|332.80
63|C,H,C|chloroethane|75-00-3|1|4.09088|1020.630|237.570||||||0.02|211.86|2|304.89
64|C,H,F|fluoroethane|353-36-6|1|4.21998|897.3680|250.660||||||0.02|174.10|2|251.47
64|C,H,F|fluoroethane|353-36-6|2|4.21998|897.3680|250.660|375.28|-20|2.97505|352.246|-24619|2.58|258.15|50.27|375.28
65|C,H„|ethane|74-84-0|1|3.95405|663.720|256.681||||||0.02|133.80|2|198.16
65|C,H„|ethane|74-84-0|3|305.33|-6.47500|1.41071|-1.1440|-1.8590|48.71|||||48.71|305.33
66|C,H„0|ethanol|64-17-5|1|5.33675|1648.220|230.918||||||0.02|276.50|2|369.54
66|C,H„0|ethanol|64-17-5|3|513.92|-8.68587|1.17831|-4.8762|1.5880|61.32|||||61.32|513.92
67|C,H„0|dimethyl ether|115-10-6|1|4.44136|1025.560|256.050||||||0.02|184.10|2|264.80
68|C,H„S|ethanethiol (ethyl mercaptan)|75-08-1|1|4.07696|1084.531|231.385||||||0.02|229.50|2|328.99
69|C,H„S|2-thiapropane (dimethylsulfide)|75-18-3|1|4.07369|1090.755|230.799||||||0.02|231.30|2|331.47
70|C,H7N|ethanamine (ethyl amine)|75-04-7|1|4.43400|1 102.880|232.450||||||0.02|220.53|2|307.55
70|C,H7N|ethanamine (ethyl amine)|75-04-7|2|3.88560|840.4800|200.000|456.35|23|2.09210|90.941|-3179.0|2.04|308.15|45.83|443.15
74|C,H,C1F,0|2-ehloro-1.1,2-trifluoroethyl|13838-16-9|3|475.03|-8.32915|2.37044|-3.75113|-4.6033|29.80|||||29.80|475.03
75|C,H,C1F,0|1 -ehloro-2.2.2-trifluoroethyl|26675-46-7|3|467.80|-8.08994|2.07729|-3.32|-4.2641|30.46|||||30.46|467.80
78|C,H,F,|1.1.1,2.2-pentafluoropropane|1814-88-6|3|380.38|-7.67509|2.38205|-3.6522|0|31.483|||0.74|248.00|9.95|326.00
83|c,h4|1-propyne (methyl acetylene)|74-99-7|1|4.24555|935.0900|243.580||||||0.02|186.87|2|266.63
84|c,h4|1,2-propadiene|463-49-0|1|2.83860|458.0600|196.070||||||0.02|178.00|2|257.00
84|c,h4|1,2-propadiene|463-49-0|2|3.67520|734.5680|234.740|393.00|-20|1.13600|-264.98|16325.0|2.16|258.15|54.60|423.15
85|C,H„|propene (propylene)|115-07-1|1|3.95606|789.6240|247.580||||||0.02|165.20|2|241.61
85|C,H„|propene (propylene)|115-07-1|2|3.95606|789.6200|247.580|365.57|-41|2.67417|22.130|-199.34|1.74|238.15|44.67|363.15
86|C,H„|cyclopropane|75-19-4|1|4.03084|866.1500|248.000||||||0.02|176.30|2|257.37
86|C,H„|cyclopropane|75-19-4|2|4.03084|866.1500|248.000|398.25|-26|2.66720|-2.153|567.17|2.058|258.15|55.75|398.25
