,Substance,Formula,refrigerant,cas_no,5,10,50,100,250,500,1000,2000,5000,10000,A,B,C,D
95,n-Pentane,C5H12,,"109-66-0,107949-95-1,102056-77-9,9078-70-0",-62.8,-54.1,-30.4,-18.1,0.5,16.9,35.7,57.6,92.6,124.9,-7.36401,1.94358,-2.47191,-2.34757
96,n-Hexane,C6H14,,"110-54-3,92112-69-1,50981-41-4,478799-92-7",-38.9,-29.5,-3.6,9.8,30.0,47.8,68.3,92.1,130.1,165.1,-7.61075,2.00527,-2.74158,-2.82824
97,n-Heptane,C7H16,,"142-82-5,67290-43-1",-16.7,-6.6,21.1,35.4,57.0,76.1,98.0,123.4,163.9,201.1,-7.75469,1.84795,-2.80333,-3.62418
98,n-Octane,C8H18,,"111-65-9,9065-92-3,31372-91-5",3.9,14.6,43.9,59.0,81.9,102.0,125.2,152.0,194.8,234.1,-8.01133,1.98859,-3.26507,-3.99439
99,n-Nonane,C9H20,,"111-84-2,66039-00-7,144637-82-1,61193-19-9",22.7,34.0,64.9,80.7,104.8,126.0,150.3,178.5,223.3,264.4,-8.45145,2.5785,-4.17533,-3.66755
100,n-Decane,C10H22,,"124-18-5,63335-87-5,116372-01-1",40.4,52.2,84.5,101.1,126.3,148.3,173.6,202.9,249.5,292.0,-8.62717,2.5589,-4.50221,-3.6342
101,n-Undecane,C11H24,,"1120-21-4,61193-21-3",57.3,69.6,103.1,120.3,146.3,169.2,195.3,225.7,273.8,317.7,-8.73044,2.35716,-4.52576,-4.46648
102,n-Dodecane,C12H26,,"112-40-3,93685-81-5",73.2,85.9,120.4,138.2,165.1,188.7,215.7,247.1,296.6,341.4,-8.97902,2.4053,-4.55315,-5.99492
103,n-Tridecane,C13H28,,629-50-5,88.4,101.4,136.9,155.2,182.9,207.1,234.9,266.9,317.3,363.0,-8.71245,1.11086,-3.15308,-8.81599
104,n-Tetradecane,C14H30,,629-59-4,102.1,115.6,152.4,171.2,199.6,224.5,252.9,285.8,338.0,385.4,-8.99672,1.98553,-5.38986,-4.09226
105,n-Pentadecane,C15H32,,629-62-9,115.8,129.5,167.1,186.3,215.4,240.9,270.0,303.5,356.4,404.4,-8.86498,0.89612,-3.70098,-8.72916
106,n-Hexadecane,C16H34,,544-76-3,128.5,142.6,181.0,200.7,230.5,256.5,286.1,320.4,374.3,423.4,-8.96067,0.85195,-4.0408,-8.42218
107,n-Heptadecane,C17H36,,629-78-7,141.2,155.7,195.1,215.2,245.4,271.7,301.8,336.4,390.9,440.2,-9.43782,1.65057,-5.70751,-4.71679
108,n-Octadecane,C18H38,,"593-45-3,128271-18-1",152.6,167.3,207.3,227.7,258.4,285.1,315.6,350.8,406.1,455.6,-9.87775,2.42883,-7.03772,-3.36978
109,n-Nonadecane,C19H40,,629-92-5,163.9,178.8,219.3,240.0,271.2,298.5,329.5,365.1,420.8,470.3,-9.91003,1.64273,-5.20678,-10.43208
110,n-Eicosane,C20H42,,112-95-8,174.7,189.8,231.1,252.2,284.0,311.7,343.1,379.0,435.2,486.5,-8.99815,-1.3023,-1.45511,-16.74038
